pair_index,speaker_0,speaker_1,utt_0,utt_1,vad_ind_mae,vad_ind_max,vad_shared_mae,vad_shared_max,vad_random_mae,vad_random_max,wave_ind_mae,wave_ind_max,wave_shared_mae,wave_shared_max,wave_random_mae,wave_random_max
1,1272,1462,1272-128104-0000.flac,1462-170138-0001.flac,0.26768749972753453,1.0,0.25839921832084656,1.0,0.45362751231493015,0.9684169413775262,0.1682855157817347,1.0,0.08817966282367706,1.0,0.4141335293812228,0.9843618377797355
2,1673,174,1673-143396-0000.flac,174-50561-0001.flac,0.32506869408323796,1.0,0.2905118465423584,0.9369905591011047,0.4665207203067806,0.9965090888677043,0.29259492059425096,1.0,0.15531042218208313,0.9677399396896362,0.47805340948653574,0.9984833376217195
3,1988,1993,1988-147956-0001.flac,1993-147965-0000.flac,0.3937185772052876,1.0,0.3867584466934204,1.0,0.43280820743444026,0.9884809200703247,0.18736291671069624,0.8910836653903962,0.1877458244562149,0.9135787487030029,0.4378254296879586,0.9836089120818029
4,2035,2078,2035-147960-0000.flac,2078-142845-0000.flac,0.2527477458295603,1.0,0.23098908364772797,1.0,0.41252148067966515,0.9998588556900896,0.17851383083775452,1.0,0.1687474250793457,1.0,0.5137877630015312,0.9998588556900896
5,2086,2277,2086-149214-0000.flac,2277-149896-0000.flac,0.30993664060134635,1.0,0.30693110823631287,1.0,0.3049689823545738,0.941327519200639,0.0983586610750261,1.0,0.08334566652774811,1.0,0.45368313335362054,0.9917543330324591
6,2428,251,2428-83705-0000.flac,251-136532-0000.flac,0.18476710421432724,1.0,0.11431006342172623,1.0,0.47807747761946384,0.9948458207476768,0.25108548658174296,0.7230306135163695,0.3720758259296417,0.8270894289016724,0.2993038914441946,0.9548010511742948
7,2803,2902,2803-161169-0001.flac,2902-9006-0000.flac,0.261703137872335,0.8024631367282238,0.2308744639158249,0.8024631142616272,0.4364671275701358,0.9995453594853602,0.18634166501996977,0.7772693984541668,0.197267085313797,0.8933499455451965,0.5026382467678006,0.9787939625546199
8,3000,3081,3000-15664-0000.flac,3081-166546-0001.flac,0.25439207715542783,1.0,0.24543343484401703,1.0,0.33696305217660094,0.966473565791776,0.24037777747813696,1.0,0.181675985455513,0.8785033822059631,0.3702834900830225,0.977863599351956
9,3170,3752,3170-137482-0000.flac,3752-4943-0000.flac,0.354155209078101,1.0,0.33922678232192993,1.0,0.3718623452883763,0.9461255552081187,0.20722784277966874,1.0,0.1428484469652176,0.8816762566566467,0.37949309913418794,0.9910198391972612
10,5338,5536,5338-284437-0000.flac,5536-43358-0001.flac,0.21159218925480267,0.9513552609269479,0.21310323476791382,0.9855265021324158,0.3798798893013487,0.9846027246264951,0.3083031100559073,0.9652287542389022,0.28733712434768677,0.9652287364006042,0.4229503528457379,0.9968049446372016
11,5895,6295,5895-34629-0001.flac,6295-244435-0000.flac,0.13973641250987667,1.0,0.117238350212574,1.0,0.4732559032180106,0.9917248948959615,0.21614539088828968,1.0,0.06616200506687164,0.9039582014083862,0.4796238284291047,0.9917248948959615
12,6313,6319,6313-66125-0001.flac,6319-57405-0000.flac,0.2633198210954661,1.0,0.24365563690662384,1.0,0.45899648765950746,0.9942996509859803,0.27121477325257826,0.9655614179226578,0.33980700373649597,0.9928620457649231,0.4670084442704132,0.9964999360808374
13,6345,777,6345-93302-0001.flac,777-126732-0000.flac,0.2465303485066186,0.9090938659225161,0.25724390149116516,0.9217983484268188,0.34405235362335057,0.9752745576317774,0.27438900867365307,1.0,0.2690061330795288,1.0,0.4628015094667523,0.9923701456822955
14,7850,7976,7850-73752-0000.flac,7976-110124-0000.flac,0.1807017050715423,1.0,0.17899703979492188,1.0,0.5245395024836674,0.9909081528849191,0.3638072322296425,1.0,0.12468642741441727,0.9653735160827637,0.4613701917923872,0.9905832706129515
15,8297,84,8297-275156-0001.flac,84-121123-0001.flac,0.2240623055547838,1.0,0.1878638118505478,1.0,0.4033367133687556,0.9586480781737023,0.19905225616248373,0.76742502090137,0.21685004234313965,0.9641991257667542,0.4903937726678176,0.9916568514343728
